"","Availability","region","year","policy","agg.land","value","title","percent_change","diff_percent_diff_from_currchange","diff_percent_change"
"1171","CURRENT","Argentina",2040,"NZ","a) Bioenergy crops",19.59556818883,"Land Use by Type",276.316159828477,NA,NA
"1172","UNIFORM30","Argentina",2040,"NZ","a) Bioenergy crops",18.49975645586,"Land Use by Type",255.272030907463,-7.61596025874023,-21.044128921014
"1173","BIODIV","Australia_NZ",2040,"NZ","a) Bioenergy crops",29.3867178909,"Land Use by Type",196.265641228513,-1.32060811647854,-2.62658690781333
"1174","BIODIV30","Australia_NZ",2040,"NZ","a) Bioenergy crops",29.3374376428,"Land Use by Type",195.768816630494,-1.57040399974378,-3.12341150583239
"1175","CURRENT","Australia_NZ",2040,"NZ","a) Bioenergy crops",29.6472501894,"Land Use by Type",198.892228136326,NA,NA
"1176","UNIFORM30","Australia_NZ",2040,"NZ","a) Bioenergy crops",29.7356088437,"Land Use by Type",199.783026267355,0.447879808766581,0.890798131028561
"1177","BIODIV","Brazil",2040,"NZ","a) Bioenergy crops",45.5052047606,"Land Use by Type",96.848059074486,-31.8083569077923,-45.1752955226888
"1178","BIODIV30","Brazil",2040,"NZ","a) Bioenergy crops",53.9457780934,"Land Use by Type",133.360596195869,-6.0995309017141,-8.66275840130564
"1179","CURRENT","Brazil",2040,"NZ","a) Bioenergy crops",55.9483408654,"Land Use by Type",142.023354597175,NA,NA
"1180","UNIFORM30","Brazil",2040,"NZ","a) Bioenergy crops",51.3474821752,"Land Use by Type",122.120793824038,-14.0135830684936,-19.9025607731363
"1181","BIODIV","Canada",2040,"NZ","a) Bioenergy crops",100.59533979504,"Land Use by Type",76.81969925196,-57.3682100628515,-103.373765214848
"1182","BIODIV30","Canada",2040,"NZ","a) Bioenergy crops",137.59147926743,"Land Use by Type",141.84901639846,-21.2795997800528,-38.3444480683484
"1183","CURRENT","Canada",2040,"NZ","a) Bioenergy crops",159.40620239504,"Land Use by Type",180.193464466808,NA,NA
"1184","UNIFORM30","Canada",2040,"NZ","a) Bioenergy crops",143.2496332035,"Land Use by Type",151.794537526333,-15.760242484103,-28.3989269404749
"1185","BIODIV","Central America and Caribbean",2040,"NZ","a) Bioenergy crops",19.39041066592,"Land Use by Type",136.733970588746,-8.3124089526645,-12.3963195921297
"1186","BIODIV30","Central America and Caribbean",2040,"NZ","a) Bioenergy crops",19.73019156808,"Land Use by Type",140.882293359441,-5.53073209435247,-8.2479968214347
"1187","CURRENT","Central America and Caribbean",2040,"NZ","a) Bioenergy crops",20.4057686521,"Land Use by Type",149.130290180876,NA,NA
"1188","UNIFORM30","Central America and Caribbean",2040,"NZ","a) Bioenergy crops",19.9191865957,"Land Use by Type",143.189699018913,-3.9834906475126,-5.94059116196362
"1189","BIODIV","Central Asia",2040,"NZ","a) Bioenergy crops",24.58812226799,"Land Use by Type",341.128246777328,2.75445774854191,9.14435600333513
"1190","BIODIV30","Central Asia",2040,"NZ","a) Bioenergy crops",24.41286340548,"Land Use by Type",337.983979235927,1.80734325630861,6.0000884619347
"1191","CURRENT","Central Asia",2040,"NZ","a) Bioenergy crops",24.07842345565,"Land Use by Type",331.983890773993,NA,NA
"1192","UNIFORM30","Central Asia",2040,"NZ","a) Bioenergy crops",24.13398871818,"Land Use by Type",332.98077075427,0.300279624397937,0.996879980277811
"1193","BIODIV","China",2040,"NZ","a) Bioenergy crops",108.615316935221,"Land Use by Type",328.119442025313,1.19437611836879,3.87272534858181
"1194","BIODIV30","China",2040,"NZ","a) Bioenergy crops",108.008740053576,"Land Use by Type",325.728551279488,0.457008360159829,1.48183460275646
"1195","CURRENT","China",2040,"NZ","a) Bioenergy crops",107.632793718921,"Land Use by Type",324.246716676732,NA,NA
"1196","UNIFORM30","China",2040,"NZ","a) Bioenergy crops",104.735870688266,"Land Use by Type",312.828169951743,-3.52156124879838,-11.4185467249889
"1197","BIODIV","Colombia",2040,"NZ","a) Bioenergy crops",5.63826842066,"Land Use by Type",212.44690632946,0.741645151502202,1.56400282915706
"1198","BIODIV30","Colombia",2040,"NZ","a) Bioenergy crops",5.6822079784,"Land Use by Type",214.881834548032,1.89628034390333,3.99893104772889
"1199","CURRENT","Colombia",2040,"NZ","a) Bioenergy crops",5.6100451687,"Land Use by Type",210.882903500303,NA,NA
"1200","UNIFORM30","Colombia",2040,"NZ","a) Bioenergy crops",5.5983868584,"Land Use by Type",210.236853558282,-0.306354821228851,-0.646049942020568
"1201","BIODIV","EU-12",2040,"NZ","a) Bioenergy crops",77.03401142587,"Land Use by Type",85.7062373524767,-7.10756096849873,-6.55771679282503
"1202","BIODIV30","EU-12",2040,"NZ","a) Bioenergy crops",76.824455759324,"Land Use by Type",85.2010605658882,-7.65509525885981,-7.06289357941358
"1203","CURRENT","EU-12",2040,"NZ","a) Bioenergy crops",79.754260554537,"Land Use by Type",92.2639541453018,NA,NA
"1204","UNIFORM30","EU-12",2040,"NZ","a) Bioenergy crops",77.595614227733,"Land Use by Type",87.0600957494389,-5.64018575192174,-5.20385839586291
"1205","BIODIV","EU-15",2040,"NZ","a) Bioenergy crops",327.91062319184,"Land Use by Type",62.1700779706802,-6.08627667407593,-4.02906286725811
"1206","BIODIV30","EU-15",2040,"NZ","a) Bioenergy crops",327.58828400172,"Land Use by Type",62.0106632768653,-6.32708749397027,-4.18847756107296
"1207","CURRENT","EU-15",2040,"NZ","a) Bioenergy crops",336.05745602447,"Land Use by Type",66.1991408379383,NA,NA
"1208","UNIFORM30","EU-15",2040,"NZ","a) Bioenergy crops",331.14902066477,"Land Use by Type",63.7716460003254,-3.66695822164153,-2.42749483761284
"1209","BIODIV","Europe_Eastern",2040,"NZ","a) Bioenergy crops",53.181394971078,"Land Use by Type",199.007925133006,-1.52238438770744,-3.07650176508457
"1210","BIODIV30","Europe_Eastern",2040,"NZ","a) Bioenergy crops",52.922613814037,"Land Use by Type",197.552949819319,-2.24236827563989,-4.5314770787715
"1211","CURRENT","Europe_Eastern",2040,"NZ","a) Bioenergy crops",53.728579984403,"Land Use by Type",202.08442689809,NA,NA
"1212","UNIFORM30","Europe_Eastern",2040,"NZ","a) Bioenergy crops",49.062469640793,"Land Use by Type",175.849613519403,-12.9821054404737,-26.2348133786871
"1213","BIODIV","Europe_Non_EU",2040,"NZ","a) Bioenergy crops",52.0000074182,"Land Use by Type",127.993788587414,-6.48201627388552,-8.87163930960806
"1214","BIODIV30","Europe_Non_EU",2040,"NZ","a) Bioenergy crops",51.769156398,"Land Use by Type",126.981623372295,-7.22154942748893,-9.88380452472769
"1215","CURRENT","Europe_Non_EU",2040,"NZ","a) Bioenergy crops",54.0234191645,"Land Use by Type",136.865427897022,NA,NA
"1216","UNIFORM30","Europe_Non_EU",2040,"NZ","a) Bioenergy crops",49.8595253324,"Land Use by Type",118.608854923458,-13.3390683491673,-18.2565729735641
"1217","BIODIV","European Free Trade Association",2040,"NZ","a) Bioenergy crops",49.99472203614,"Land Use by Type",85.6996486806445,-7.48555024183702,-6.93414950403618
"1218","BIODIV30","European Free Trade Association",2040,"NZ","a) Bioenergy crops",49.88293064615,"Land Use by Type",85.2844124116708,-7.93380592940566,-7.34938577300986
"1219","CURRENT","European Free Trade Association",2040,"NZ","a) Bioenergy crops",51.86155850823,"Land Use by Type",92.6337981846806,NA,NA
"1220","UNIFORM30","European Free Trade Association",2040,"NZ","a) Bioenergy crops",46.97522573473,"Land Use by Type",74.4840767256887,-19.5929799000658,-18.149721458992
"1221","BIODIV","India",2040,"NZ","a) Bioenergy crops",65.165342387,"Land Use by Type",141.252973069215,0.592857417395315,0.832493230267289
"1222","BIODIV30","India",2040,"NZ","a) Bioenergy crops",64.9109746646,"Land Use by Type",140.311261309037,-0.0777796301761997,-0.109218529910407
"1223","CURRENT","India",2040,"NZ","a) Bioenergy crops",64.9404759089,"Land Use by Type",140.420479838948,NA,NA
"1224","UNIFORM30","India",2040,"NZ","a) Bioenergy crops",61.5115509912,"Land Use by Type",127.726027534631,-9.04031400467818,-12.6944523043167
"1225","BIODIV","Indonesia",2040,"NZ","a) Bioenergy crops",29.86816018752,"Land Use by Type",417.327252343239,0.665951089759164,2.76080974227699
"1226","BIODIV30","Indonesia",2040,"NZ","a) Bioenergy crops",29.82672799053,"Land Use by Type",416.609631823836,0.492849640712619,2.04318922287399
"1227","CURRENT","Indonesia",2040,"NZ","a) Bioenergy crops",29.70876338935,"Land Use by Type",414.566442600962,NA,NA
"1228","UNIFORM30","Indonesia",2040,"NZ","a) Bioenergy crops",29.69399180611,"Land Use by Type",414.310593478607,-0.0617148654746415,-0.255849122354164
"1229","BIODIV","Japan",2040,"NZ","a) Bioenergy crops",27.9452988004,"Land Use by Type",64.0201194243359,-26.3459614682728,-22.8999201289041
"1230","BIODIV30","Japan",2040,"NZ","a) Bioenergy crops",27.8589370391,"Land Use by Type",63.5132339369666,-26.9291244419377,-23.4068056162734
"1231","CURRENT","Japan",2040,"NZ","a) Bioenergy crops",31.8469244836,"Land Use by Type",86.92003955324,NA,NA
"1232","UNIFORM30","Japan",2040,"NZ","a) Bioenergy crops",31.1434180854,"Land Use by Type",82.7909298853592,-4.75046915429854,-4.12910966788077
"1233","BIODIV","Mexico",2040,"NZ","a) Bioenergy crops",33.209235275,"Land Use by Type",253.928701905332,-0.898562100955357,-2.3023955324378
"1234","BIODIV30","Mexico",2040,"NZ","a) Bioenergy crops",33.372386716,"Land Use by Type",255.667494661291,-0.219958772418498,-0.563602776478575
"1235","CURRENT","Mexico",2040,"NZ","a) Bioenergy crops",33.425269732,"Land Use by Type",256.23109743777,NA,NA
"1236","UNIFORM30","Mexico",2040,"NZ","a) Bioenergy crops",32.11351179,"Land Use by Type",242.250986731168,-5.45605543058513,-13.9801107066013
"1237","BIODIV","Middle East",2040,"NZ","a) Bioenergy crops",21.88212775,"Land Use by Type",500.039852033017,1.33683827263681,6.59653906156939
"1238","BIODIV30","Middle East",2040,"NZ","a) Bioenergy crops",21.782859678,"Land Use by Type",497.31777674331,0.785189234510225,3.87446377186245
"1239","CURRENT","Middle East",2040,"NZ","a) Bioenergy crops",21.641566544,"Land Use by Type",493.443312971448,NA,NA
"1240","UNIFORM30","Middle East",2040,"NZ","a) Bioenergy crops",21.535051321,"Land Use by Type",490.522510233324,-0.591922650757086,-2.92080273812417
"1241","BIODIV","Pakistan",2040,"NZ","a) Bioenergy crops",1.268014412,"Land Use by Type",332.845140767389,2.76471630171443,8.95465311191327
"1242","BIODIV30","Pakistan",2040,"NZ","a) Bioenergy crops",1.259999745,"Land Use by Type",330.109280959339,1.92002962139425,6.21879330386338
"1243","CURRENT","Pakistan",2040,"NZ","a) Bioenergy crops",1.241781868,"Land Use by Type",323.890487655475,NA,NA
"1244","UNIFORM30","Pakistan",2040,"NZ","a) Bioenergy crops",1.228754506,"Land Use by Type",319.443511118494,-1.37298769382548,-4.44697653698103
"1245","BIODIV","Russia",2040,"NZ","a) Bioenergy crops",291.115804988751,"Land Use by Type",165.436185064216,-9.61712948949755,-17.6031277279047
"1246","BIODIV30","Russia",2040,"NZ","a) Bioenergy crops",289.282613268344,"Land Use by Type",163.764701041647,-10.530312563162,-19.2746117504741
"1247","CURRENT","Russia",2040,"NZ","a) Bioenergy crops",310.421947056717,"Land Use by Type",183.039312792121,NA,NA
"1248","UNIFORM30","Russia",2040,"NZ","a) Bioenergy crops",288.626408039626,"Land Use by Type",163.166380340588,-10.8571935440464,-19.8729324515331
"1249","BIODIV","South Africa",2040,"NZ","a) Bioenergy crops",4.487189341,"Land Use by Type",218.247287830091,1.10435652773638,2.38390139904408
"1250","BIODIV30","South Africa",2040,"NZ","a) Bioenergy crops",4.463830549,"Land Use by Type",216.590599949091,0.336885995382245,0.727213518044067
"1251","CURRENT","South Africa",2040,"NZ","a) Bioenergy crops",4.453577061,"Land Use by Type",215.863386431047,NA,NA
"1252","UNIFORM30","South Africa",2040,"NZ","a) Bioenergy crops",4.432105306,"Land Use by Type",214.340533866912,-0.7054705243502,-1.52285256413523
"1253","BIODIV","South America_Northern",2040,"NZ","a) Bioenergy crops",2.663052849076,"Land Use by Type",127.849615007416,-55.7010184000818,-160.75660208822
"1254","BIODIV30","South America_Northern",2040,"NZ","a) Bioenergy crops",4.2619382260903,"Land Use by Type",264.649535339488,-8.30081971110454,-23.9566817561477
"1255","CURRENT","South America_Northern",2040,"NZ","a) Bioenergy crops",4.5419383024698,"Land Use by Type",288.606217095636,NA,NA
"1256","UNIFORM30","South America_Northern",2040,"NZ","a) Bioenergy crops",4.4848520672661,"Land Use by Type",283.721944251446,-1.69236577553421,-4.88427284419049
"1257","BIODIV","South America_Southern",2040,"NZ","a) Bioenergy crops",29.0324899401307,"Land Use by Type",167.221543392036,-12.4408854092735,-23.7597658339331
"1258","BIODIV30","South America_Southern",2040,"NZ","a) Bioenergy crops",29.960436188135,"Land Use by Type",175.762568605096,-7.96870682401,-15.2187406208735
"1259","CURRENT","South America_Southern",2040,"NZ","a) Bioenergy crops",31.6138879584092,"Land Use by Type",190.981309225969,NA,NA
"1260","UNIFORM30","South America_Southern",2040,"NZ","a) Bioenergy crops",29.78272596106,"Land Use by Type",174.126883851447,-8.8251700874979,-16.8544253745221
"1261","BIODIV","South Asia",2040,"NZ","a) Bioenergy crops",3.906240701,"Land Use by Type",285.151191679348,-3.70935309321357,-10.9847268542421
"1262","BIODIV30","South Asia",2040,"NZ","a) Bioenergy crops",3.891029403,"Land Use by Type",283.651373823733,-4.21581575503512,-12.484544709857
"1263","CURRENT","South Asia",2040,"NZ","a) Bioenergy crops",4.017648865,"Land Use by Type",296.13591853359,NA,NA
"1264","UNIFORM30","South Asia",2040,"NZ","a) Bioenergy crops",3.778215081,"Land Use by Type",272.528001281515,-7.97198710949251,-23.607917252075
"1265","BIODIV","South Korea",2040,"NZ","a) Bioenergy crops",2.92631993,"Land Use by Type",118.116031601751,-8.99609102831377,-11.6762300015392
"1266","BIODIV30","South Korea",2040,"NZ","a) Bioenergy crops",2.92389847,"Land Use by Type",117.935545783893,-9.13514848492115,-11.8567158193979
"1267","CURRENT","South Korea",2040,"NZ","a) Bioenergy crops",3.08297226,"Land Use by Type",129.792261603291,NA,NA
"1268","UNIFORM30","South Korea",2040,"NZ","a) Bioenergy crops",2.83925163,"Land Use by Type",111.626313276828,-13.9961721153971,-18.165948326463
"1269","BIODIV","Southeast Asia",2040,"NZ","a) Bioenergy crops",39.10950350535,"Land Use by Type",147.740854835562,-9.19059562360282,-14.9524871702823
"1270","BIODIV30","Southeast Asia",2040,"NZ","a) Bioenergy crops",39.13306357911,"Land Use by Type",147.890097149837,-9.09886334222291,-14.8032448560071
"1271","CURRENT","Southeast Asia",2040,"NZ","a) Bioenergy crops",41.46997146203,"Land Use by Type",162.693342005845,NA,NA
"1272","UNIFORM30","Southeast Asia",2040,"NZ","a) Bioenergy crops",36.33608701648,"Land Use by Type",130.172527186665,-19.9890262368645,-32.5208148191799
"1273","BIODIV","Taiwan",2040,"NZ","a) Bioenergy crops",0.2989731551,"Land Use by Type",428.764125940764,-3.90469229680526,-17.4222032243067
"1274","BIODIV30","Taiwan",2040,"NZ","a) Bioenergy crops",0.298000784,"Land Use by Type",427.04438975037,-4.29012234653618,-19.1419394147002
"1275","CURRENT","Taiwan",2040,"NZ","a) Bioenergy crops",0.3088239956,"Land Use by Type",446.18632916507,NA,NA
"1276","UNIFORM30","Taiwan",2040,"NZ","a) Bioenergy crops",0.2907523883,"Land Use by Type",414.224872173612,-7.1632533097252,-31.9614569914583
"1277","BIODIV","USA",2040,"NZ","a) Bioenergy crops",153.9306723662,"Land Use by Type",153.544675915034,-1.64799107286267,-2.57280210088064
"1278","BIODIV30","USA",2040,"NZ","a) Bioenergy crops",153.4226847846,"Land Use by Type",152.70795153278,-2.18394924544423,-3.40952648313515
"1279","CURRENT","USA",2040,"NZ","a) Bioenergy crops",155.4926580629,"Land Use by Type",156.117478015915,NA,NA
"1280","UNIFORM30","USA",2040,"NZ","a) Bioenergy crops",147.0927692897,"Land Use by Type",142.281722971224,-8.86239979054783,-13.835755044691
"1281","BIODIV","Africa_Eastern",2045,"NZ","a) Bioenergy crops",89.258016475885,"Land Use by Type",148.806181066104,-2.40378671904255,-3.66508402050817
"1282","BIODIV30","Africa_Eastern",2045,"NZ","a) Bioenergy crops",88.985915809354,"Land Use by Type",148.047702103899,-2.90124370660953,-4.42356298271326
"1283","CURRENT","Africa_Eastern",2045,"NZ","a) Bioenergy crops",90.572847676968,"Land Use by Type",152.471265086612,NA,NA
"1284","UNIFORM30","Africa_Eastern",2045,"NZ","a) Bioenergy crops",83.19383995267,"Land Use by Type",131.90232568568,-13.4903710474546,-20.568939400932
"1285","BIODIV","Africa_Northern",2045,"NZ","a) Bioenergy crops",5.65288622411,"Land Use by Type",470.854705651928,0.0828946344515686,0.389990006258131
"1286","BIODIV30","Africa_Northern",2045,"NZ","a) Bioenergy crops",5.62826472538,"Land Use by Type",468.368312356008,-0.445602660506503,-2.09640328966145
"1287","CURRENT","Africa_Northern",2045,"NZ","a) Bioenergy crops",5.64902434978,"Land Use by Type",470.464715645669,NA,NA
"1288","UNIFORM30","Africa_Northern",2045,"NZ","a) Bioenergy crops",5.56793106645,"Land Use by Type",462.275539258525,-1.74065686858269,-8.18917638714436
"1289","BIODIV","Africa_Southern",2045,"NZ","a) Bioenergy crops",74.883458242,"Land Use by Type",158.323941790482,-3.06094816897935,-4.99923787756805
"1290","BIODIV30","Africa_Southern",2045,"NZ","a) Bioenergy crops",74.5533885384,"Land Use by Type",157.185307051899,-3.75811481788811,-6.13787261615101
"1291","CURRENT","Africa_Southern",2045,"NZ","a) Bioenergy crops",76.3326472651,"Land Use by Type",163.32317966805,NA,NA
"1292","UNIFORM30","Africa_Southern",2045,"NZ","a) Bioenergy crops",74.086661042,"Land Use by Type",155.575246706897,-4.74392733285035,-7.74793296115294
"1293","BIODIV","Africa_Western",2045,"NZ","a) Bioenergy crops",356.77556936642,"Land Use by Type",154.133677642364,-3.78616539930298,-6.06540212827781
"1294","BIODIV30","Africa_Western",2045,"NZ","a) Bioenergy crops",356.83152536761,"Land Use by Type",154.173535484631,-3.76128520503207,-6.02554428601067
"1295","CURRENT","Africa_Western",2045,"NZ","a) Bioenergy crops",365.29072295735,"Land Use by Type",160.199079770642,NA,NA
"1296","UNIFORM30","Africa_Western",2045,"NZ","a) Bioenergy crops",345.05893040499,"Land Use by Type",145.787835593359,-8.99583455655031,-14.411244177283
"1297","BIODIV","Argentina",2045,"NZ","a) Bioenergy crops",23.2920255328,"Land Use by Type",347.303467736471,-4.35614342555729,-15.8180961312025
"1298","BIODIV30","Argentina",2045,"NZ","a) Bioenergy crops",23.16683984334,"Land Use by Type",344.899383431841,-5.01820388790587,-18.2221804358323
"1299","CURRENT","Argentina",2045,"NZ","a) Bioenergy crops",24.11570682647,"Land Use by Type",363.121563867673,NA,NA
"1300","UNIFORM30","Argentina",2045,"NZ","a) Bioenergy crops",22.34381488972,"Land Use by Type",329.093891751032,-9.37087617551732,-34.0276721166418
"1301","BIODIV","Australia_NZ",2045,"NZ","a) Bioenergy crops",35.2984201529,"Land Use by Type",255.865160572789,-1.52049254421516,-3.95047740414438
"1302","BIODIV30","Australia_NZ",2045,"NZ","a) Bioenergy crops",35.2452916648,"Land Use by Type",255.329539492106,-1.72664683302301,-4.48609848482727
"1303","CURRENT","Australia_NZ",2045,"NZ","a) Bioenergy crops",35.6902697259,"Land Use by Type",259.815637976933,NA,NA
"1304","UNIFORM30","Australia_NZ",2045,"NZ","a) Bioenergy crops",35.696749456,"Land Use by Type",259.880964135512,0.0251432743186172,0.0653261585791824
"1305","BIODIV","Brazil",2045,"NZ","a) Bioenergy crops",50.8487650679,"Land Use by Type",119.963425340241,-30.2832284287597,-52.1091228236626
"1306","BIODIV30","Brazil",2045,"NZ","a) Bioenergy crops",60.5826120084,"Land Use by Type",162.070452165985,-5.81272033490871,-10.0020959979188
"1307","CURRENT","Brazil",2045,"NZ","a) Bioenergy crops",62.8947883568,"Land Use by Type",172.072548163904,NA,NA
"1308","UNIFORM30","Brazil",2045,"NZ","a) Bioenergy crops",57.5617510768,"Land Use by Type",149.00270278989,-13.4070458188595,-23.0698453740137
"1309","BIODIV","Canada",2045,"NZ","a) Bioenergy crops",121.01619864839,"Land Use by Type",112.714106768978,-54.3859851012366,-134.39000590152
"1310","BIODIV30","Canada",2045,"NZ","a) Bioenergy crops",168.65544516765,"Land Use by Type",196.451159193954,-20.4986282620424,-50.6529534765439
"1311","CURRENT","Canada",2045,"NZ","a) Bioenergy crops",197.47265890657,"Land Use by Type",247.104112670498,NA,NA
"1312","UNIFORM30","Canada",2045,"NZ","a) Bioenergy crops",175.98610248533,"Land Use by Type",209.336493891092,-15.2840915398959,-37.7676187794065
"1313","BIODIV","Central America and Caribbean",2045,"NZ","a) Bioenergy crops",22.21130232472,"Land Use by Type",171.173719931555,-9.04137197582813,-17.0148264986597
"1314","BIODIV30","Central America and Caribbean",2045,"NZ","a) Bioenergy crops",22.6660738742,"Land Use by Type",176.725942443707,-6.09102105518317,-11.4626039865075
"1315","CURRENT","Central America and Caribbean",2045,"NZ","a) Bioenergy crops",23.6049530644,"Land Use by Type",188.188546430214,NA,NA
"1316","UNIFORM30","Central America and Caribbean",2045,"NZ","a) Bioenergy crops",22.90310025198,"Land Use by Type",179.619754055688,-4.55330174820372,-8.56879237452614
"1317","BIODIV","Central Asia",2045,"NZ","a) Bioenergy crops",31.46906931336,"Land Use by Type",464.577287464884,2.28993973331803,10.4003775203753
"1318","BIODIV30","Central Asia",2045,"NZ","a) Bioenergy crops",31.24987375991,"Land Use by Type",460.644764715041,1.42408269309043,6.46785477053265
"1319","CURRENT","Central Asia",2045,"NZ","a) Bioenergy crops",30.88936090436,"Land Use by Type",454.176909944508,NA,NA
"1320","UNIFORM30","Central Asia",2045,"NZ","a) Bioenergy crops",30.77508180544,"Land Use by Type",452.126662349331,-0.451420481817941,-2.05024759517727
"1321","BIODIV","China",2045,"NZ","a) Bioenergy crops",134.39611109218,"Land Use by Type",429.737330927939,-0.225971132914191,-0.973281650825925
"1322","BIODIV30","China",2045,"NZ","a) Bioenergy crops",133.886090959591,"Land Use by Type",427.727029427683,-0.692711780009021,-2.9835831510822
"1323","CURRENT","China",2045,"NZ","a) Bioenergy crops",134.643035862687,"Land Use by Type",430.710612578765,NA,NA
"1324","UNIFORM30","China",2045,"NZ","a) Bioenergy crops",129.071271988222,"Land Use by Type",408.748880952502,-5.0989529825542,-21.9617316262624
"1325","BIODIV","Colombia",2045,"NZ","a) Bioenergy crops",7.13527451997,"Land Use by Type",295.404099848634,0.453265172526648,1.33292223058152
"1326","BIODIV30","Colombia",2045,"NZ","a) Bioenergy crops",7.195680086,"Land Use by Type",298.751498521957,1.59156056768779,4.68032090390398
"1327","CURRENT","Colombia",2045,"NZ","a) Bioenergy crops",7.1112212387,"Land Use by Type",294.071177618053,NA,NA
"1328","UNIFORM30","Colombia",2045,"NZ","a) Bioenergy crops",7.0825351535,"Land Use by Type",292.481526699235,-0.540566719830821,-1.58965091881782
"1329","BIODIV","EU-12",2045,"NZ","a) Bioenergy crops",88.208183110335,"Land Use by Type",112.64386322244,-7.58754051739363,-9.24864332170361
"1330","BIODIV30","EU-12",2045,"NZ","a) Bioenergy crops",88.016740598504,"Land Use by Type",112.182351899281,-7.9661620883533,-9.71015464486315
"1331","CURRENT","EU-12",2045,"NZ","a) Bioenergy crops",92.044672963746,"Land Use by Type",121.892506544144,NA,NA
"1332","UNIFORM30","EU-12",2045,"NZ","a) Bioenergy crops",88.948103034976,"Land Use by Type",114.427591508218,-6.12417879291287,-7.4649150359264
"1333","BIODIV","EU-15",2045,"NZ","a) Bioenergy crops",359.06256759974,"Land Use by Type",77.5764506108611,-6.73184351495273,-5.59925858555488
"1334","BIODIV30","EU-15",2045,"NZ","a) Bioenergy crops",358.86799552548,"Land Use by Type",77.4802238764341,-6.84753442442215,-5.69548531998184
"1335","CURRENT","EU-15",2045,"NZ","a) Bioenergy crops",370.38436256449,"Land Use by Type",83.175709196416,NA,NA
"1336","UNIFORM30","EU-15",2045,"NZ","a) Bioenergy crops",363.30854754384,"Land Use by Type",79.6763243261259,-4.20721975694423,-3.49938487029009
"1337","BIODIV","Europe_Eastern",2045,"NZ","a) Bioenergy crops",62.922966476152,"Land Use by Type",253.779092471716,-2.71016481314392,-7.06942472877543
"1338","BIODIV30","Europe_Eastern",2045,"NZ","a) Bioenergy crops",62.719409408724,"Land Use by Type",252.634609962168,-3.14891850890258,-8.2139072383242
"1339","CURRENT","Europe_Eastern",2045,"NZ","a) Bioenergy crops",64.180330703378,"Land Use by Type",260.848517200492,NA,NA
"1340","UNIFORM30","Europe_Eastern",2045,"NZ","a) Bioenergy crops",57.603319130974,"Land Use by Type",223.869822209325,-14.1763102156126,-36.9786949911672
"1341","BIODIV","Europe_Non_EU",2045,"NZ","a) Bioenergy crops",61.2505882421,"Land Use by Type",168.552916814324,-6.80883691854699,-12.3150016030067
"1342","BIODIV30","Europe_Non_EU",2045,"NZ","a) Bioenergy crops",61.004773347,"Land Use by Type",167.475142559903,-7.40472714819774,-13.3927758574283
"1343","CURRENT","Europe_Non_EU",2045,"NZ","a) Bioenergy crops",64.0593497381,"Land Use by Type",180.867918417331,NA,NA
"1344","UNIFORM30","Europe_Non_EU",2045,"NZ","a) Bioenergy crops",58.4289784946,"Land Use by Type",156.181582112888,-13.6488198241337,-24.6863363044426
"1345","BIODIV","European Free Trade Association",2045,"NZ","a) Bioenergy crops",54.61943369841,"Land Use by Type",102.877608592333,-7.65138398428029,-8.52374535413115
"1346","BIODIV30","European Free Trade Association",2045,"NZ","a) Bioenergy crops",54.5208608706,"Land Use by Type",102.511471153254,-7.98004914507796,-8.88988279321008
"1347","CURRENT","European Free Trade Association",2045,"NZ","a) Bioenergy crops",56.9142268373,"Land Use by Type",111.401353946464,NA,NA
"1348","UNIFORM30","European Free Trade Association",2045,"NZ","a) Bioenergy crops",51.21865254853,"Land Use by Type",90.2457978920762,-18.9903940167142,-21.1555560543879
"1349","BIODIV","India",2045,"NZ","a) Bioenergy crops",71.6675022616,"Land Use by Type",165.325054081277,0.346121491452163,0.570251778967787
"1350","BIODIV30","India",2045,"NZ","a) Bioenergy crops",71.3640522847,"Land Use by Type",164.201631623521,-0.335753902804689,-0.553170678788177
"1351","CURRENT","India",2045,"NZ","a) Bioenergy crops",71.5134703674,"Land Use by Type",164.754802302309,NA,NA
"1352","UNIFORM30","India",2045,"NZ","a) Bioenergy crops",66.9738386796,"Land Use by Type",147.948328167379,-10.200900914616,-16.80647413493
"1353","BIODIV","Indonesia",2045,"NZ","a) Bioenergy crops",40.70793408533,"Land Use by Type",605.076025999512,-0.239312163214763,-1.45149412891226
"1354","BIODIV30","Indonesia",2045,"NZ","a) Bioenergy crops",40.72557925095,"Land Use by Type",605.381646599844,-0.188923583935181,-1.14587352857984
"1355","CURRENT","Indonesia",2045,"NZ","a) Bioenergy crops",40.79173685999,"Land Use by Type",606.527520128424,NA,NA
"1356","UNIFORM30","Indonesia",2045,"NZ","a) Bioenergy crops",40.48528866047,"Land Use by Type",601.219727346817,-0.875111615790094,-5.30779278160753
"1357","BIODIV","Japan",2045,"NZ","a) Bioenergy crops",33.3365625187,"Land Use by Type",95.6632135003598,-22.4871796096997,-27.7527750014994
"1358","BIODIV30","Japan",2045,"NZ","a) Bioenergy crops",33.2330138527,"Land Use by Type",95.0554524352569,-22.9796288235175,-28.3605360666023
"1359","CURRENT","Japan",2045,"NZ","a) Bioenergy crops",38.0650043262,"Land Use by Type",123.415988501859,NA,NA
"1360","UNIFORM30","Japan",2045,"NZ","a) Bioenergy crops",37.2147659201,"Land Use by Type",118.425660579308,-4.04350196690782,-4.99032792255142
