"","Availability","region","year","policy","agg.land","value","title","percent_change","diff_percent_diff_from_currchange","diff_percent_change"
"1","BIODIV","Africa_Eastern",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"2","BIODIV30","Africa_Eastern",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"3","CURRENT","Africa_Eastern",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,NA
"4","UNIFORM30","Africa_Eastern",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"5","BIODIV","Africa_Northern",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"6","BIODIV30","Africa_Northern",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"7","CURRENT","Africa_Northern",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,NA
"8","UNIFORM30","Africa_Northern",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"9","BIODIV","Africa_Southern",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"10","BIODIV30","Africa_Southern",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"11","CURRENT","Africa_Southern",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,NA
"12","UNIFORM30","Africa_Southern",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"13","BIODIV","Africa_Western",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"14","BIODIV30","Africa_Western",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"15","CURRENT","Africa_Western",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,NA
"16","UNIFORM30","Africa_Western",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"17","BIODIV","Argentina",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"18","BIODIV30","Argentina",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,0
"19","CURRENT","Argentina",1975,"NZ","a) Bioenergy crops",0,"Land Use by Type",-100,NA,NA
